data,jogo,transmissão,hora
30/01/2024,Philadelphia 76ers x Golden State Warriors,Amazon Prime Video,0h
31/01/2024,Phoenix Suns x Brooklyn Nets,ESPN 2,21h30
31/01/2024,Denver Nuggets x Oklahoma City Thunder,ESPN 2,0h
01/02/2024,Los Angeles Lakers x Boston Celtics,Amazon Prime Video,21h30
01/02/2024,Cleveland Cavaliers x Memphis Grizzlies,Amazon Prime Video,0h
02/02/2024,Golden State Warriors x Memphis Grizzlies,ESPN 2,22h
03/02/2024,Los Angeles Lakers x New York Knicks,ESPN 2,22h30
03/02/2024,Milwaukee Bucks x Dallas Mavericks,Amazon Prime Video,22h30
04/02/2024,Memphis Grizzlies x Boston Celtics,ESPN 2,20h
04/02/2024,Los Angeles Clippers x Miami Heat,Amazon Prime Video,20h
06/02/2024,Dallas Mavericks x Brooklyn Nets,Amazon Prime Video,21h30
06/02/2024,Milwaukee Bucks x Phoenix Suns,Amazon Prime Video,0h
07/02/2024,Atlanta Hawks x Boston Celtics,ESPN 2,21h30
07/02/2024,New Orleans Pelicans x Los Angeles Clippers,ESPN 2,0h
08/02/2024,Dallas Mavericks x New York Knicks,Amazon Prime Video,21h30
08/02/2024,Denver Nuggets x Los Angeles Lakers,Amazon Prime Video,0h
09/02/2024,New Orleans Pelicans x Los Angeles Lakers,ESPN 2,0h30
10/02/2024,Oklahoma City Thunder x Dallas Mavericks,Amazon Prime Video,17h
10/02/2024,Phoenix Suns x Golden State Warriors,ESPN 2,22h30
11/02/2024,Boston Celtics x Miami Heat,ESPN 2,16h
11/02/2024,Sacramento Kings x Oklahoma City Thunder,Amazon Prime Video,17h
13/02/2024,Oklahoma City Thunder x Orlando Magic,Amazon Prime Video,21h30
13/02/2024,Sacramento Kings x Phoenix Suns,Amazon Prime Video,0h
14/02/2024,Chicago Bulls x Cleveland Cavaliers,ESPN 2,21h30
14/02/2024,Los Angeles Clippers x Golden State Warriors,ESPN 2,0h
15/02/2024,Milwaukee Bucks x Memphis Grizzlies,Amazon Prime Video,22h30
22/02/2024,Phoenix Suns x Dallas Mavericks,Amazon Prime Video,21h30
22/02/2024,Los Angeles Lakers x Golden State Warriors,Amazon Prime Video,0h
23/02/2024,Cleveland Cavaliers x Philadelphia 76ers,ESPN 2,21h30
23/02/2024,Miami Heat x New Orleans Pelicans,ESPN 2,0h
24/02/2024,Brooklyn Nets x Minnesota Timberwolves,Amazon Prime Video,22h
24/02/2024,Boston Celtics x New York Knicks,ESPN 2,22h30
25/02/2024,Milwaukee Bucks x Philadelphia 76ers,ESPN 2,15h
25/02/2024,Los Angeles Lakers x Phoenix Suns,ESPN 2,17h30
25/02/2024,Denver Nuggets x Golden State Warriors,ESPN 2,21h
25/02/2024,San Antonio Spurs x Utah Jazz,Amazon Prime Video,22h
25/02/2024,Sacramento Kings x Los Angeles Clippers,ESPN 2,23h30
27/02/2024,Philadelphia 76ers x Boston Celtics,Amazon Prime Video,21h30
27/02/2024,Miami Heat x Portland Trail Blazers,Amazon Prime Video,0h
28/02/2024,Memphis Grizzlies x Minnesota Timberwolves,ESPN 2,20h30
28/02/2024,Los Angeles Lakers x Los Angeles Clippers,ESPN 2,0h
29/02/2024,Golden State Warriors x New York Knicks,Amazon Prime Video,21h30
29/02/2024,Miami Heat x Denver Nuggets,Amazon Prime Video,0h
01/03/2024,Dallas Mavericks x Boston Celtics,ESPN 2,21h30
01/03/2024,Milwaukee Bucks x Chicago Bulls,ESPN 2,0h
02/03/2024,Utah Jazz x Miami Heat,Amazon Prime Video,19h
02/03/2024,Denver Nuggets x Los Angeles Lakers,ESPN 2,22h30
03/03/2024,Philadelphia 76ers x Dallas Mavericks,ESPN 2,15h
03/03/2024,Golden State Warriors x Boston Celtics,ESPN 2,17h30
03/03/2024,Los Angeles Clippers x Minnesota Timberwolves,Amazon Prime Video,17h30
03/03/2024,New York Knicks x Cleveland Cavaliers,ESPN 2,21h
03/03/2024,Oklahoma City Thunder x Phoenix Suns,ESPN 2,23h30
05/03/2024,Atlanta Hawks x New York Knicks,Amazon Prime Video,21h30
05/03/2024,Phoenix Suns x Denver Nuggets,Amazon Prime Video,0h
06/03/2024,Memphis Grizzlies x Philadelphia 76ers,ESPN 2,20h30
06/03/2024,Milwaukee Bucks x Golden State Warriors,ESPN 2,23h
07/03/2024,Miami Heat x Dallas Mavericks,Amazon Prime Video,21h30
07/03/2024,Boston Celtics x Denver Nuggets,Amazon Prime Video,0h
08/03/2024,Atlanta Hawks x Memphis Grizzlies,ESPN 2,21h30
08/03/2024,Milwaukee Bucks x Los Angeles Lakers,ESPN 2,0h
09/03/2024,Boston Celtics x Phoenix Suns,ESPN 2,22h30
09/03/2024,San Antonio Spurs x Golden State Warriors,Amazon Prime Video,22h30
10/03/2024,Philadelphia 76ers x New York Knicks,Amazon Prime Video,19h
10/03/2024,Brooklyn Nets x Cleveland Cavaliers,ESPN 2,20h
10/03/2024,Minnesota Timberwolves x Los Angeles Lakers,ESPN 2,22h30
12/03/2024,Philadelphia 76ers x New York Knicks,Amazon Prime Video,20h30
12/03/2024,Minnesota Timberwolves x Los Angeles Clippers,Amazon Prime Video,23h
13/03/2024,Denver Nuggets x Miami Heat,ESPN 2,20h30
14/03/2024,Phoenix Suns x Boston Celtics,Amazon Prime Video,20h30
14/03/2024,Dallas Mavericks x Oklahoma City Thunder,Amazon Prime Video,23h
15/03/2024,Denver Nuggets x San Antonio Spurs,ESPN 2,21h30
16/03/2024,Golden State Warriors x Los Angeles Lakers,ESPN 2,21h30
16/03/2024,New York Knicks x Sacramento Kings,Amazon Prime Video,23h
17/03/2024,Phoenix Suns x Milwaukee Bucks,ESPN 2,14h
17/03/2024,Denver Nuggets x Dallas Mavericks,ESPN 2,16h30
17/03/2024,Brooklyn Nets x San Antonio Spurs,Amazon Prime Video,20h
18/03/2024,Miami Heat x Philadelphia 76ers,ESPN 2,20h30
18/03/2024,New York Knicks x Golden State Warriors,ESPN 2,23h
20/03/2024,Milwaukee Bucks x Boston Celtics,ESPN 2,20h30
20/03/2024,Memphis Grizzlies x Golden State Warriors,ESPN 2,23h
23/03/2024,Phoenix Suns x San Antonio Spurs,Amazon Prime Video,21h
24/03/2024,Golden State Warriors x Minnesota Timberwolves,Amazon Prime Video,20h
26/03/2024,Los Angeles Lakers x Milwaukee Bucks,Amazon Prime Video,20h30
26/03/2024,Dallas Mavericks x Sacramento Kings,Amazon Prime Video,23h
27/03/2024,Los Angeles Clippers x Philadelphia 76ers,ESPN 2,20h30
27/03/2024,Phoenix Suns x Denver Nuggets,ESPN 2,23h
29/03/2024,Dallas Mavericks x Sacramento Kings,ESPN 2,23h
30/03/2024,Boston Celtics x New Orleans Pelicans,Amazon Prime Video,18
31/03/2024,Cleveland Cavaliers x Denver Nuggets,Amazon Prime Video,16h30
02/04/2024,Golden State Warriors x Dallas Mavericks,ESPN 2,20h30
02/04/2024,Los Angeles Clippers x Sacramento Kings,ESPN 2,23h
03/04/2024,Memphis Grizzlies x Milwaukee Bucks,ESPN 2,20h30
03/04/2024,Cleveland Cavaliers x Phoenix Suns,ESPN 2,23h
04/04/2024,Philadelphia 76ers x Miami Heat,Amazon Prime Video,20h30
04/04/2024,Denver Nuggets x Los Angeles Clippers,Amazon Prime Video,23h
05/04/2024,Sacramento Kings x Boston Celtics,ESPN 2,20h30
06/04/2024,Philadelphia 76ers x Memphis Grizzlies,Amazon Prime Video,21h
06/04/2024,Atlanta Hawks x Denver Nuggets,ESPN 2,22h
07/04/2024,New York Knicks x Milwaukee Bucks,Amazon Prime Video,20h
09/04/2024,Boston Celtics x Milwaukee Bucks,Amazon Prime Video,20h30
09/04/2024,Golden State Warriors x Los Angeles Lakers,Amazon Prime Video,23h
10/04/2024,Dallas Mavericks x Miami Heat,ESPN 2,20h30
10/04/2024,Minnesota Timberwolves x Denver Nuggets,ESPN 2,23h
11/04/2024,New York Knicks x Boston Celtics,Amazon Prime Video,20h30
11/04/2024,New Orleans Pelicans x Sacramento Kings,Amazon Prime Video,23h
12/04/2024,Los Angeles Lakers x Memphis Grizzlies,ESPN 2,21h
12/04/2024,Los Angeles Lakers x New Orleans Pelicans,Amazon Prime Video,16h30
